releaseid,releasename,institutionid,institutionname,programid,programname,facultycount,pub2010,pub2011,pub2012,pub2013,cit2009,cit2010,cit2011,cit2012,cit2013,book2004,book2005,book2006,book2007,book2008,book2009,book2010,book2011,book2012,book2013,grant2009,grant2010,grant2011,grant2012,grant2013,award2004,award2005,award2006,award2007,award2008,award2009,award2010,award2011,award2012,award2013,confproc2010,confproc2011,confproc2012,confproc2013,nsfdol,doeddol,doedol,nihdol,usdadol,noaadol,ahadol,armydol,faadol,nasadol,navydol,acsdol,hhsdol,afrodol,epadol,neadol,nehdol,acsnum,hhsnum,afronum,epanum,neanum,nehnum,nsfnum,doednum,nihnum,usdanum,noaanum,ahanum,armynum,faanum,nasanum,navynum,doenum,createddate
"20150223.397","AAD2013.04.397",81,"Georgetown University",1204,"History",39,7,22,20,24,10,4,73,5,1,8,16,4,9,10,9,7,13,6,3,1,0,0,0,0,3,9,0,2,2,5,3,2,5,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56400.00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",11009,"Islamic Studies",4,1,3,2,2,0,0,0,0,0,0,2,1,2,1,1,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1205,"Linguistics",17,13,7,6,12,90,65,8,19,11,1,5,10,5,7,5,5,5,2,5,2,1,1,1,1,1,1,0,1,0,0,1,2,1,3,0,1,0,0,301862.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1206,"Microbiology and Immunology",14,21,25,16,22,217,93,115,74,72,0,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,0.00,0.00,824666.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1207,"Neuroscience",36,81,82,89,96,1350,1229,937,1382,284,0,1,0,0,0,0,0,0,0,0,6,11,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688176.00,0.00,0.00,14373112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,388524.00,0.00,0.00,0.00,0,0,2,0,0,0,11,0,63,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1208,"Pharmacology",31,50,61,54,66,684,660,570,408,203,1,2,1,0,1,1,0,0,0,0,3,2,6,2,1,0,0,0,0,0,0,0,0,0,0,5,3,2,0,163770.00,0.00,0.00,9168289.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1209,"Philosophy",27,18,18,19,15,105,62,42,139,15,3,4,8,8,11,8,2,6,6,5,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,22899.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40320.00,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",9842,"Physics",12,20,17,19,22,588,352,179,192,140,0,0,1,0,0,0,0,0,0,1,6,5,0,1,1,0,0,1,0,0,0,1,0,0,0,3,1,1,1,1519981.00,0.00,91267.00,458359.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,650766.00,0.00,0.00,0.00,0,0,4,0,0,0,14,0,2,0,0,0,0,0,0,0,1,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",9843,"Psychology",17,39,40,47,42,792,501,353,178,93,2,1,5,2,1,0,2,0,1,3,4,7,1,3,2,0,1,0,0,0,0,0,1,0,0,0,0,2,3,996052.00,0.00,0.00,1498491.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1211,"Spanish",18,6,4,3,9,11,50,1,20,2,1,3,2,1,2,4,1,7,2,3,0,0,1,0,0,0,1,1,3,1,0,0,1,1,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50400.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
